Election,County,Office,Party,Candidate,Votes,ElectionDayVotes,MailVotes,ProvisionalVotes
2020 Presidential Election,SOMERSET,President of the United States,Democratic,"BIDEN, JOSEPH ROBINETTE JR",8654,4556,3998,100
2020 Presidential Election,SOMERSET,President of the United States,Republican,"TRUMP, DONALD J.",31466,27523,3596,347
2020 Presidential Election,SOMERSET,President of the United States,Libertarian,"JORGENSEN, JO",423,303,112,8
2020 Presidential Election,SULLIVAN,President of the United States,Democratic,"BIDEN, JOSEPH ROBINETTE JR",921,471,441,9
2020 Presidential Election,SULLIVAN,President of the United States,Republican,"TRUMP, DONALD J.",2619,2234,366,19
2020 Presidential Election,SULLIVAN,President of the United States,Libertarian,"JORGENSEN, JO",55,36,18,1
2020 Presidential Election,SUSQUEHANNA,President of the United States,Democratic,"BIDEN, JOSEPH ROBINETTE JR",6236,2869,3283,84
2020 Presidential Election,SUSQUEHANNA,President of the United States,Republican,"TRUMP, DONALD J.",15207,12710,2210,287
2020 Presidential Election,SUSQUEHANNA,President of the United States,Libertarian,"JORGENSEN, JO",309,231,70,8
2020 Presidential Election,TIOGA,President of the United States,Democratic,"BIDEN, JOSEPH ROBINETTE JR",4955,2616,2270,69
2020 Presidential Election,TIOGA,President of the United States,Republican,"TRUMP, DONALD J.",15742,13387,2122,233
2020 Presidential Election,TIOGA,President of the United States,Libertarian,"JORGENSEN, JO",378,295,81,2
2020 Presidential Election,UNION,President of the United States,Democratic,"BIDEN, JOSEPH ROBINETTE JR",7475,3203,4221,51
2020 Presidential Election,UNION,President of the United States,Republican,"TRUMP, DONALD J.",12356,10470,1747,139
2020 Presidential Election,UNION,President of the United States,Libertarian,"JORGENSEN, JO",284,195,87,2
2020 Presidential Election,VENANGO,President of the United States,Democratic,"BIDEN, JOSEPH ROBINETTE JR",7585,3646,3833,106
2020 Presidential Election,VENANGO,President of the United States,Republican,"TRUMP, DONALD J.",18569,15830,2464,275
2020 Presidential Election,VENANGO,President of the United States,Libertarian,"JORGENSEN, JO",374,269,98,7
